Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,PMR01,446.006250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
2,PMR02,446.018750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
3,PMR03,446.031250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
4,PMR04,446.043750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
5,PMR05,446.056250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
6,PMR06,446.068750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
7,PMR07,446.081250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
8,PMR08,446.093750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
9,PMR09,446.106250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
10,PMR10,446.118750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
11,PMR11,446.131250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
12,PMR12,446.143750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
13,PMR13,446.156250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
14,PMR14,446.168750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
15,PMR15,446.181250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
16,PMR16,446.193750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
17,PKelenf,446.193750,,0.000000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
18,POpera,446.168750,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,6.25,,5.0W,,,,,
19,PDunake,446.093750,,0.000000,TSQL,88.5,77.0,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
20,PZebegeny,446.093750,,0.000000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
21,PDunaujvar,446.130000,,0.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
22,PUrhida,446.081250,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
23,PKerepes,446.018750,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
24,Svabhegy2m,145.600000,-,0.600000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
25,PVerseg,446.006250,,0.000000,TSQL,88.5,136.5,023,NN,023,Tone->Tone,FM,6.25,,5.0W,,,,,
26,HHH2,145.675000,-,0.600000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
