Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,Alba-Borgond,119.560,-,4.600000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
1,Atkar,129.985,-,4.600000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
2,Bacsbokod,126.700,-,4.600000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
3,Balatonederics,133.415,-,4.600000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
4,Balatonfokajar,133.415,-,4.600000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
5,Balatonkeresztur,118.340,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
6,Balatonlelle,133.415,-,4.600000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
7,Balloszog,129.985,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
8,Batonyterenye,129.985,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
9,Bekescsaba,123.260,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
10,Bodmer-Felcsut,133.415,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
11,Bony,133.415,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
12,Budakeszi-Farkashegy,125.610,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
13,Budaors,124.510,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
14,Bp Approach,122.975,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,1.5W,,,,,
15,Bukkfurdo,133.415,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
16,Cegled,129.985,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,1.5W,,,,,
17,Cserszegtomaj-Heviz,133.415,-,4.600000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
18,Daka,133.415,-,4.600000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
19,Dany,129.985,-,4.600000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
