Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,CB01,26.965000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
1,CB01,26.975000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
2,CB03,26.985000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
3,CB04,27.005000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
4,CB05,27.015000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
5,CB06,27.025000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
6,CB07,27.035000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
7,CB08,27.055000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
8,CB09,27.065000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
9,CB10,27.075000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
10,CB11,27.085000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
11,CB12,27.105000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
12,CB13,27.115000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
13,CB14,27.125000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
14,CB15,27.135000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
15,CB16,27.155000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
16,CB17,27.165000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
17,CB18,27.175000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
18,CB19,27.185000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
19,CB20,27.205000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
20,CB21,27.215000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
21,CB22,27.225000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
22,CB23,27.255000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
23,CB24,27.235000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
24,CB25,27.245000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
25,CB26,27.265000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
26,CB27,27.275000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
27,CB28,27.285000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
28,CB29,27.295000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
29,CB30,27.305000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
30,CB31,27.315000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
31,CB32,27.325000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
32,CB33,27.335000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
33,CB34,27.345000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
34,CB35,27.355000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
35,CB36,27.365000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
36,CB37,27.375000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
37,CB38,27.385000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
38,CB39,27.395000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
39,CB40,27.405000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,10.00,,5.0W,,,,,
