Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,KamionBP1,462.237500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
1,KamionBP2,452.237500,,0.600000,Cross,206.5,118.8,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
2,KamionBP3,458.018750,,0.600000,Cross,206.5,118.8,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
3,KamionBP4,468.018750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
4,KamionErd1,462.212500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
5,KamionErd2,442.212500,,0.600000,Cross,206.5,118.8,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
6,KamionKecske,468.500000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
7,KamionKecske2,458.500000,,0.600000,Cross,206.5,118.8,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
8,KamionSzekes,468.306250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
9,KamionSzekes2,458.306250,,0.600000,Cross,206.5,118.8,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
10,Kamion1,458.400000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
11,Kamion2,458.412500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
12,Kamion3,458.425000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
13,Kamion4,458.437500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
14,Kamion5,458.450000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
15,Kamion6,458.462500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
16,Kamion7,458.475000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
17,Kamion8,458.487500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
18,Kamion9,458.500000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
19,Kamion10,458.512500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
20,Kamion11,458.525000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
21,Kamion12,458.537500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
22,Kamion13,458.550000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
23,Kamion14,458.562500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
24,Kamion15,458.575000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
25,Kamion16,458.587500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
26,Kamion17,458.600000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
27,Kamion18,468.400000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
28,Kamion19,468.412500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
29,Kamion20,468.425000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
30,Kamion21,468.437500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
31,Kamion22,468.450000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
32,Kamion23,468.462500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
33,Kamion24,468.475000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
34,Kamion25,468.487500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
35,Kamion26,468.500000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
36,Kamion27,468.512500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
37,Kamion28,468.525000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
38,Kamion29,468.537500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
39,Kamion30,468.550000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
40,Kamion31,468.562500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,50W,,,,,
